100,0
50,0.5
25,1
12.5,1.5
6.25,2
3.125,2.5
1.5625,3
0.78125,3.5
0.390625,4
0.195312,4.5
0.0976562,5
0.0488281,5.5
0.0244141,6
0.012207,6.5
0.00610352,7
0.00305176,7.5
0.00152588,8
0.000762939,8.5
0.00038147,9
0.000190735,9.5
9.53674e-05,10
4.76837e-05,10.5
2.38419e-05,11
1.19209e-05,11.5
5.96046e-06,12
2.98023e-06,12.5
1.49012e-06,13
7.45058e-07,13.5
3.72529e-07,14
1.86265e-07,14.5
9.31323e-08,15
4.65661e-08,15.5
2.32831e-08,16
1.16415e-08,16.5
5.82077e-09,17
2.91038e-09,17.5
1.45519e-09,18
7.27596e-10,18.5
3.63798e-10,19
1.81899e-10,19.5
9.09495e-11,20
4.54747e-11,20.5
2.27374e-11,21
1.13687e-11,21.5
5.68434e-12,22
2.84217e-12,22.5
1.42109e-12,23
7.10543e-13,23.5
3.55271e-13,24
1.77636e-13,24.5
8.88178e-14,25
4.44089e-14,25.5
2.22045e-14,26
1.11022e-14,26.5
5.55112e-15,27
2.77556e-15,27.5
1.38778e-15,28
6.93889e-16,28.5
3.46945e-16,29
1.73472e-16,29.5
8.67362e-17,30
4.33681e-17,30.5
2.1684e-17,31
1.0842e-17,31.5
5.42101e-18,32
2.71051e-18,32.5
1.35525e-18,33
6.77626e-19,33.5
3.38813e-19,34
1.69407e-19,34.5
8.47033e-20,35
4.23516e-20,35.5
2.11758e-20,36
1.05879e-20,36.5
5.29396e-21,37
2.64698e-21,37.5
1.32349e-21,38
6.61744e-22,38.5
3.30872e-22,39
1.65436e-22,39.5
8.27181e-23,40
4.1359e-23,40.5
2.06795e-23,41
1.03398e-23,41.5
5.16988e-24,42
2.58494e-24,42.5
1.29247e-24,43
6.46235e-25,43.5
3.23117e-25,44
1.61559e-25,44.5
8.07794e-26,45
4.03897e-26,45.5
2.01948e-26,46
1.00974e-26,46.5
5.04871e-27,47
2.52435e-27,47.5
1.26218e-27,48
6.31089e-28,48.5
3.15544e-28,49
1.57772e-28,49.5
